Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift
random1007357|6101e97020c7bc66345c6e3d|Sn18H4CSe36|mp-665|SnSe2|*CH4|C1 H4|-2.826|2|0|1|0.026
random888812|6101e97f36aed9599e82996b|Ti72H4Au24C|mp-1786|Ti3Au|*CH4|C1 H4|-2.817|2|1|0|0.125
random1479830|6101e98536aed9599e82999f|Fe16P16H4CS16|mp-1101971|FePS|*CH4|C1 H4|-1.849|1|2|1|0
random1275845|6101e994a7c2f2b7f339c5e0|V27(HC7)4|mp-1282|VC|*CH4|C1 H4|-7.613|1|1|1|0.083
random535965|6101ec6020c7bc66345c70c0|Na36Zn6Sn12H4C|mp-568866|Na6ZnSn2|*CH4|C1 H4|-2.832|2|0|1|0.010
random1886430|6101ec63a7c2f2b7f339c812|Y16Tl8Zn8H4C|mp-1187725|Y2TlZn|*CH4|C1 H4|-2.823|1|0|0|0.125
random2215039|6101ec7520c7bc66345c717a|Hf8Cu24H4C|mp-1184704|HfCu3|*CH4|C1 H4|-2.814|1|0|1|0.375
random1993324|6101ec8020c7bc66345c71da|Y16Sb16H4C|mp-215|YSb|*CH4|C1 H4|-2.819|1|1|0|0.125
random1633958|6101ec9220c7bc66345c726a|P16H4CS40|mp-541788|P2S5|*CH4|C1 H4|-2.817|1|0|-1|0.250
random1392329|6101ec9620c7bc66345c728b|V27Te24H4C|mp-1216446|V9Te8|*CH4|C1 H4|-3.142|1|-2|-1|0.053
random1906401|6101ecba20c7bc66345c73d2|Ta18Ge36H4C|mp-7558|TaGe2|*CH4|C1 H4|-2.810|2|1|2|0.026
random1043927|6101ecc136aed9599e829dfc|K24As8H4CSe32|mp-1197539|K3AsSe4|*CH4|C1 H4|-0.549|1|1|0|0
random1346796|6101ecc236aed9599e829e08|Cr48H4C|mp-90|Cr|*CH4|C1 H4|-2.814|1|1|1|0.083
random1866862|6101ecc236aed9599e829e0e|Al48H4Ru24C|mp-10910|Al2Ru|*CH4|C1 H4|-1.673|1|1|1|0.013
random552663|6101ecc636aed9599e829e32|Ti48In16H4C|mp-1187541|Ti3In|*CH4|C1 H4|-2.995|1|1|0|0.125
random1718364|6101eccf20c7bc66345c749d|Mn32Si16H4CSe64|mp-17367|Mn2SiSe4|*CH4|C1 H4|-1.583|1|0|1|0.299
random1518664|6101eceba7c2f2b7f339cccb|Al72H4C|mp-1183144|Al|*CH4|C1 H4|-2.826|2|1|2|0.167
random1200322|6101ecee36aed9599e829fa6|Cs4Te12Mo12H4C|mp-1104612|Cs(TeMo)3|*CH4|C1 H4|-3.520|1|0|0|0.223
random1809903|6101ed0436aed9599e82a071|Sn48H4Rh12C|mp-1208852|Sn4Rh|*CH4|C1 H4|-2.810|1|1|1|0.431
random1407388|6101ed0820c7bc66345c7690|Y20Cd60H4C|mp-571059|YCd3|*CH4|C1 H4|-2.822|2|2|1|0.025
random1699983|6101ed0a36aed9599e82a0a2|Y8Ga48Fe48H4C|mp-1104485|Y(GaFe)6|*CH4|C1 H4|-2.803|2|1|0|0.041
random477121|6101ed0d20c7bc66345c76c3|Sr16H4C|mp-867202|Sr|*CH4|C1 H4|-2.823|1|0|1|0.542
random2222472|6101ed0e36aed9599e82a0ca|Co48Ge24H4C|mp-1102616|Co2Ge|*CH4|C1 H4|-2.802|2|1|1|0.126
random1563115|6101ed2136aed9599e82a165|Cd32As32H4C|mp-7373|CdAs|*CH4|C1 H4|-2.790|1|1|2|0.069
random2133432|6101ed25a7c2f2b7f339ce98|Zr32Co16Ni16H4C|mp-1215600|Zr2CoNi|*CH4|C1 H4|-2.825|1|2|1|0.124
random724818|6101ed2520c7bc66345c77a9|Ti8V16Te32H4C|mp-1025282|Ti(VTe2)2|*CH4|C1 H4|-2.794|1|1|0|0.180
random2095260|6101ed2e36aed9599e82a1cb|Hf32Ni16H4C|mp-861|Hf2Ni|*CH4|C1 H4|-2.831|1|1|0|0.168
random1528632|6101ed3120c7bc66345c7803|Sr24Cd24H4Pt24C|mp-1102073|SrCdPt|*CH4|C1 H4|-2.831|1|0|2|0.019
random762335|6101ed38a7c2f2b7f339cf3d|V32Fe32H4C|mp-1216347|VFe|*CH4|C1 H4|-2.812|2|2|1|0.062
random2192628|6101ed3ba7c2f2b7f339cf56|Sc80Sb48H4C|mp-1197755|Sc5Sb3|*CH4|C1 H4|-2.801|1|1|2|0.046
random1642113|6101ed4436aed9599e82a28e|Zr32Zn16H4C|mp-1018105|Zr2Zn|*CH4|C1 H4|-3.239|1|1|1|0.039
random347595|6101ed4520c7bc66345c7867|Na36H4Au12C|mp-976765|Na3Au|*CH4|C1 H4|-3.057|1|0|2|0.083
random2018599|6101ed48a7c2f2b7f339cfcd|Na24Cd28H4CS40|mp-1220798|Na6Cd7S10|*CH4|C1 H4|-3.481|1|0|0|0.454
random1766233|6101ed4aa7c2f2b7f339cfdc|Re54H4Ru18C|mp-974455|Re3Ru|*CH4|C1 H4|-2.823|0|1|2|0.027
random1959728|6101ed4c20c7bc66345c78a4|Hf24Ni84H4C|mp-1205858|Hf2Ni7|*CH4|C1 H4|-2.829|0|2|1|0.067
random458085|6101ed6220c7bc66345c7943|Hf36P24H4C|mp-20672|Hf3P2|*CH4|C1 H4|-2.821|1|2|0|0.044
random1567229|6101ed6720c7bc66345c7976|Zn36H4CS36|mp-9946|ZnS|*CH4|C1 H4|-3.041|2|1|1|0.069
random454985|6101ed6e36aed9599e82a3fb|Sr32H68Pd16C|mp-1179173|Sr2H4Pd|*CH4|C1 H4|-3.044|0|1|1|0.146
random674066|6101ed7136aed9599e82a417|Nb16H4Ir48C|mp-1186231|NbIr3|*CH4|C1 H4|-2.798|2|-1|2|0.061
random2258609|6101ed72a7c2f2b7f339d0e4|Sr8Al20Ag20H4C|mp-1218875|Sr2(AlAg)5|*CH4|C1 H4|-3.558|1|0|1|0.282
random996373|6101ed7736aed9599e82a451|Fe36Si18H4C|mp-1225186|Fe2Si|*CH4|C1 H4|-2.817|1|0|1|0
random2295770|6101ed78a7c2f2b7f339d115|Ge16H4CCl64|mp-30086|GeCl4|*CH4|C1 H4|-2.689|1|2|0|0.250
random1297432|6101ed7c36aed9599e82a488|Zn36H4Ru12C|mp-1380|Zn3Ru|*CH4|C1 H4|-2.807|1|0|1|0.311
random478303|6101ed8d36aed9599e82a535|Sc32Ni16H4Pt16C|mp-862368|Sc2NiPt|*CH4|C1 H4|-2.834|1|1|0|0.125
random1043209|6101ed9c36aed9599e82a5d4|As16H4Rh32C|mp-1102364|AsRh2|*CH4|C1 H4|-2.813|2|1|1|0
random1125735|6101f066b3f44d70a68687ef|Zr16Mn16Ga16H4C|mp-1216045|ZrMnGa|*CH4|C1 H4|-2.801|1|1|0|0.376
random558277|6101f08736aed9599e82a735|Mn36Si12Ni12H4C|mp-1210618|Mn3SiNi|*CH4|C1 H4|-2.704|1|1|1|0.084
random2166111|6101f093a7c2f2b7f339d40e|Na96In64H4Au32C|mp-542680|Na3In2Au|*CH4|C1 H4|-3.341|2|1|1|0.046
random1857323|6102fd8028bda86bd2903938|Nb18H4Ir6CSe48|mp-1220676|Nb3IrSe8|*CH4|C1 H4|-3.913|1|1|1|0.035
random1372166|6102fd8228bda86bd2903948|Hf12Zn12Cu24H4C|mp-866094|HfZnCu2|*CH4|C1 H4|-2.814|1|1|1|0.125
random1983392|6102fd8836aed9599e82abae|Al18Ge18Mo18H4C|mp-1228900|AlGeMo|*CH4|C1 H4|-2.122|2|1|1|0.137
random1563691|6102fd9628bda86bd2903a2e|Nb36Tc36H4C|mp-1220323|NbTc|*CH4|C1 H4|-2.816|1|1|1|0.167
random1021783|6102fda38755c713dfa9c844|Ti18In24H4C|mp-20433|Ti3In4|*CH4|C1 H4|-2.815|1|0|0|0.030
random1030911|6102fda38755c713dfa9c84a|Ca36H4C|mp-1064227|Ca|*CH4|C1 H4|-0.382|0|0|1|0.500
random2242731|6102fe3e28bda86bd2903ad4|Ga90H4Rh20C|mp-31312|Ga9Rh2|*CH4|C1 H4|-2.790|2|1|2|0.150
random1356175|6102fe5a28bda86bd2903bcc|Bi24H4Pd24C|mp-1008488|BiPd|*CH4|C1 H4|-2.819|2|1|2|0.167
random583216|6102fef828bda86bd2903ca1|Sn24P18H4C|mp-27410|Sn4P3|*CH4|C1 H4|-2.954|2|1|1|0.071
random472862|6102ff0d28bda86bd2903d8e|K24H4CS12|mp-1022|K2S|*CH4|C1 H4|-2.847|1|1|1|0.167
random2355645|6102ff0e28bda86bd2903d9d|Ca24Si48H4C|mp-2700|CaSi2|*CH4|C1 H4|-2.850|2|-1|2|0.083
random1285973|61030aed38a2eb117326887d|Sr36Hf36H4CN72|mp-9383|SrHfN2|*CH4|C1 H4|-2.812|1|1|1|0.025
random1205070|615f5e9babef87e48c0b1ac0|Ti64As48H4C|mp-567082|Ti4As3|*CH4|C1 H4|-2.817|1|0|0|0.100
random2151256|615f66c6abef87e48c0b1bec|Sn8H4Pb8CS16|mp-1218961|SnPbS2|*CH4|C1 H4|-2.818|1|0|0|0.254
random594325|615f66c8abef87e48c0b1c0a|Y18H4Au18C|mp-11261|YAu|*CH4|C1 H4|-2.823|1|0|0|0.250
random1448513|615f66d1f2a9cc00fac22633|Na24In16Ag8H4C|mp-542681|Na3In2Ag|*CH4|C1 H4|-2.821|1|0|0|0.065
random2247471|615f66d4abef87e48c0b1cf0|Ca12As24H4Ru24C|mp-5610|Ca(AsRu)2|*CH4|C1 H4|-2.825|1|0|2|0.039
random1314818|615f66d9abef87e48c0b1d4f|Ga30P18H4CS18|mp-676038|Ga5(PS)3|*CH4|C1 H4|-3.222|0|1|0|0.376
random762764|615f66e4f2a9cc00fac22784|V18H4CS36|mp-9561|VS2|*CH4|C1 H4|-4.603|2|1|0|0.056
random2446721|615f66ecf2a9cc00fac22810|Sc40Ga24H4C|mp-17332|Sc5Ga3|*CH4|C1 H4|-2.829|1|1|0|0.050
random2157344|615f66f0f2a9cc00fac22851|K16Sn8H4CCl48|mp-23499|K2SnCl6|*CH4|C1 H4|-3.332|1|0|0|0.121
