Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift
random791931|6101e41620c7bc66345c6d54|Sc20HPb12|mp-510209|Sc5Pb3|*H|H1|-1.159|1|0|0|0.118
random1458938|6101e42020c7bc66345c6dab|Al52Cu12HS96|mvc-11306|Al13(CuS8)3|*H|H1|0.738|0|0|1|0.354
random1885886|6101e97520c7bc66345c6e7c|Sr32HPd32|mp-999143|SrPd|*H|H1|-0.481|0|1|2|0.053
random2020349|6101e97720c7bc66345c6e92|Na32P16HSe48|mp-567228|Na2PSe3|*H|H1|-0.320|2|1|0|0.084
random1337522|6101e97f20c7bc66345c6ef1|Co16Ni16Ge16H|mp-1226015|CoNiGe|*H|H1|0.459|0|0|1|0.125
random1792919|6101e982a7c2f2b7f339c537|Sb32HPt96|mp-1078755|SbPt3|*H|H1|-0.241|1|1|1|0.091
random302655|6101e98836aed9599e8299b7|Zr48Ge48H|mp-1025513|ZrGe|*H|H1|-0.207|0|2|1|0.149
random2093532|6101e988a7c2f2b7f339c56e|Tl16H(Pd9Pb)8|mp-1216602|Tl2Pd9Pb|*H|H1|0.108|0|0|1|0.458
random1628522|6101e99536aed9599e829a28|Y18Ni108P63H|mp-1191078|Y2Ni12P7|*H|H1|0.045|2|1|0|0.056
random325444|6101e99b36aed9599e829a55|Tl24H|mp-39|Tl|*H|H1|0.722|2|1|0|0.083
random1835576|6101e99e20c7bc66345c6ff7|Sc32Ni16HPd16|mp-1186955|Sc2NiPd|*H|H1|-0.386|1|1|0|0.125
random629212|6101e99fa7c2f2b7f339c64f|Cu72H|mp-989695|Cu|*H|H1|-0.061|2|1|0|0.056
random377969|6101e9a136aed9599e829a8c|Hf40Ge24H|mp-1739|Hf5Ge3|*H|H1|-1.046|2|-1|2|0.049
random1978556|6101e9a7a7c2f2b7f339c6a8|Mn32Ge64H|mp-1094140|MnGe2|*H|H1|0.730|1|0|2|0.039
random829381|6101e9aca7c2f2b7f339c6dd|Y12Al36H|mp-11231|YAl3|*H|H1|-0.335|2|1|0|0.083
random1396640|6101ec4820c7bc66345c7021|Ti48Sn40H|mp-568232|Ti6Sn5|*H|H1|0.097|1|0|0|0.127
random1651266|6101ec49a7c2f2b7f339c71b|Ca24HPb8|mp-1080376|Ca3Pb|*H|H1|-0.755|1|1|0|0.125
random1640415|6101ec4c36aed9599e829b4b|V48Si48Ni48H|mp-1095532|VSiNi|*H|H1|-0.507|1|2|1|0.074
random498661|6101ec4e36aed9599e829b59|H(RhS2)16|mp-22555|RhS2|*H|H1|0.306|2|1|1|0.027
random1762279|6101ec5036aed9599e829b6f|Sr12Tl36H|mp-1206636|SrTl3|*H|H1|0.272|2|1|0|0.083
random149462|6101ec57a7c2f2b7f339c799|K24Hg8H|mp-983365|K3Hg|*H|H1|-0.812|1|1|0|0.125
random441625|6101ec60a7c2f2b7f339c7ed|H(PtS)36|mp-288|PtS|*H|H1|-0.416|1|0|2|0.083
random44082|6101ec6420c7bc66345c70e4|Ti36Al18Si54H|mp-1217089|Ti2AlSi3|*H|H1|-0.336|1|2|0|0.159
random148989|6101ec6ca7c2f2b7f339c868|Ge24HPt36|mp-20576|Ge2Pt3|*H|H1|0.379|1|1|2|0.053
random2444673|6101ec6ea7c2f2b7f339c880|Sc32Zn16Ag16H|mp-1186953|Sc2ZnAg|*H|H1|0.124|2|1|1|0.062
random1820714|6101ec6f20c7bc66345c7147|Sr18In66H|mp-567822|Sr3In11|*H|H1|0.472|1|2|0|0.060
random449590|6101ec73a7c2f2b7f339c8b4|Zr40H(IrPt)12|mp-1215751|Zr10(IrPt)3|*H|H1|-0.505|1|1|0|0.384
random107326|6101ec7320c7bc66345c716b|Hf32H(OsRu)16|mp-1184604|Hf2OsRu|*H|H1|-0.312|1|0|0|0.125
random1477105|6101ec8020c7bc66345c71d4|As48H|mp-11|As|*H|H1|0.280|2|-1|2|0
random1899387|6101ec8420c7bc66345c71fe|Ga24Co12HRu12|mp-865779|Ga2CoRu|*H|H1|-0.269|1|1|1|0.042
random249251|6101ec88a7c2f2b7f339c997|Y12P12H|mp-994|YP|*H|H1|-0.814|1|1|1|0.083
random1637285|6101ec8920c7bc66345c7223|Zr36Ga12Co6H|mp-22167|Zr6Ga2Co|*H|H1|-0.552|2|-1|2|0.351
