Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift
random1464743|6101e97020c7bc66345c6e38|Ti18In6N|mp-1187665|Ti3In|*N2|N2|-2.136|2|1|0|0.083
random1797802|6101e97320c7bc66345c6e5e|Ti16Sn24N|mp-637255|Ti2Sn3|*N2|N2|-0.194|1|1|0|0.176
random2318689|6101e97f20c7bc66345c6ef7|Y8Al8Pd16N|mp-1078242|YAlPd2|*N2|N2|-0.260|2|0|1|0.228
random742539|6101e987a7c2f2b7f339c563|Sb4Te8N|mp-1219462|SbTe2|*N2|N2|-0.657|2|0|1|0.088
random718505|6101e99120c7bc66345c6f8d|Ga16Sb16N|mp-1018059|GaSb|*N2|N2|-0.021|1|1|0|0.250
random1359021|6101e99936aed9599e829a46|Co16Se16N|mp-604908|CoSe|*N2|N2|-1.013|1|1|0|0.125
random497592|6101e9a236aed9599e829a97|Sr12Pb12N|mp-21093|SrPb|*N2|N2|-0.170|2|2|1|0.167
random1991311|6101ec4f20c7bc66345c705a|Ga40Pt8N|mp-1199016|Ga5Pt|*N2|N2|-0.018|1|1|0|0.347
random1551200|6101ec67a7c2f2b7f339c835|Ti20Se19N|mp-1101121|Ti20Se19|*N2|N2|-1.715|1|1|-1|0.080
random1642548|6101ec9036aed9599e829ccd|Hg12N|mp-121|Hg|*N2|N2|-0.002|2|1|-2|0.167
random1714912|6101ec9ba7c2f2b7f339ca4d|Y16Ga16Rh16N|mp-1102458|YGaRh|*N2|N2|-0.091|0|2|1|0.100
random1753735|6101ec9f36aed9599e829d66|Zr24P48N|mp-1523|ZrP2|*N2|N2|-0.134|2|2|1|0.250
random2049131|6101eca236aed9599e829d85|Hf18Ge12N|mp-976273|Hf3Ge2|*N2|N2|-1.225|1|1|2|0.185
random1421839|6101ecbd20c7bc66345c73f3|Ti9Ge9Sb9N|mp-1076973|TiGeSb|*N2|N2|-4.452|0|0|1|0.316
random1865291|6101ecc436aed9599e829e1a|Mo36Pt12N|mp-1186016|Mo3Pt|*N2|N2|0.419|1|1|0|0.125
random1197201|6101ecd836aed9599e829ed1|Ti48Sn16N|mp-1079460|Ti3Sn|*N2|N2|-1.798|0|1|2|0
random601086|6101eceb20c7bc66345c759a|Zr16Co8Os8N|mp-972327|Zr2CoOs|*N2|N2|-0.240|1|1|0|0.125
random1014677|6101ecf536aed9599e829fe2|Al24Pt40N|mp-1501|Al3Pt5|*N2|N2|-0.013|0|2|1|0.132
random1959015|6101ecfb36aed9599e82a01e|Zr20Ga16N|mp-1188336|Zr5Ga4|*N2|N2|-2.629|1|1|0|0.165
random1015215|6101ecfd36aed9599e82a02e|Sc12N|mp-36|Sc|*N2|N2|-0.476|2|1|1|0.062
random1658863|6101ed0120c7bc66345c7654|Ca6Si6Ni12N|mp-10797|CaSiNi2|*N2|N2|-0.019|1|0|1|0.063
random1090721|6101ed0620c7bc66345c7682|Mn6Pd18N|mp-31138|MnPd3|*N2|N2|-1.057|1|0|1|0.062
random2035335|6101ed0f20c7bc66345c76d5|Ta6Pd12N|mp-30835|TaPd2|*N2|N2|-2.043|0|1|1|0.168
random1517587|6101ed15a7c2f2b7f339ce11|Pd36N|mp-2|Pd|*N2|N2|-0.259|1|1|0|0.125
random644148|6101ed1636aed9599e82a106|Ta24S12N|mp-555935|Ta2S|*N2|N2|-1.494|1|1|1|0.177
random72786|6101ed18a7c2f2b7f339ce2a|Ge14Ir6N|mp-505780|Ge7Ir3|*N2|N2|1.975|1|0|0|0.080
random1789615|6101ed1e20c7bc66345c7763|Bi20Ir10N|mp-1101783|Bi2Ir|*N2|N2|-0.783|1|2|2|0.054
random1466578|6101ed1f36aed9599e82a156|H18Rh18N|mp-24722|HRh|*N2|N2|-0.219|1|0|0|0.250
random1682481|6101ed28a7c2f2b7f339ceb3|Sc8Zn24N|mp-973143|ScZn3|*N2|N2|-0.359|1|1|0|0.125
random1552364|6101ed2d36aed9599e82a1c5|Ti72Pd18N|mp-1217168|Ti4Pd|*N2|N2|-1.471|2|0|1|0.024
random453132|6101ed4036aed9599e82a26a|Zr4Al32Fe16N|mp-1105077|Zr(Al2Fe)4|*N2|N2|-0.394|2|1|1|0.077
random1251584|6101ed41a7c2f2b7f339cf91|Sr8Sn4N|mp-978|Sr2Sn|*N2|N2|0.118|1|1|0|0.081
random846967|6101ed4fa7c2f2b7f339d006|Ti9Pt27N|mp-12107|TiPt3|*N2|N2|-0.029|2|1|0|0.083
random1802778|6101ed50a7c2f2b7f339d00d|Na12Ge12Se30N|mp-17964|Na2Ge2Se5|*N2|N2|0.118|1|2|1|0.302
random2358207|6101ed5d36aed9599e82a351|V30Ge10N|mp-1221|V3Ge|*N2|N2|-0.340|2|2|1|0.025
random1037622|6101ed7236aed9599e82a41c|Ta12S8N|mp-1826|Ta3S2|*N2|N2|-0.333|0|0|1|0.500
random1804224|6101ed7b36aed9599e82a47f|Ca10Zn6N|mp-2786|Ca5Zn3|*N2|N2|0.038|1|1|0|0.106
random957517|6101ed91a7c2f2b7f339d1ec|W16C8N|mp-684602|W2C|*N2|N2|-1.899|1|1|2|0.010
random2398988|6101ed9cb3f44d70a68687de|Ti36Ga18C18N|mp-12537|Ti2GaC|*N2|N2|-0.259|2|0|1|0.020
random1730512|6101ed9ea7c2f2b7f339d231|Zr8Cu16N|mp-1072655|ZrCu2|*N2|N2|-0.011|1|0|0|0
random2378960|6101f06f36aed9599e82a651|Ti27Pd27N2|mp-11546|TiPd|*N2|N2|-4.958|1|0|0|0.250
random1081862|6101f08ca7c2f2b7f339d3c1|Sc12Cd4N|mp-972876|Sc3Cd|*N2|N2|-3.739|1|0|1|0.500
random833846|6102fd8036aed9599e82ab53|Tc12Ir12N|mp-1217409|TcIr|*N2|N2|-0.595|2|0|1|0.208
random488082|6102fd8428bda86bd2903960|Ag24S12N|mp-556225|Ag2S|*N2|N2|-0.025|2|0|1|0
random2458019|6102fd8628bda86bd2903978|Na32Pb32N|mp-30792|NaPb|*N2|N2|-0.002|2|0|1|0.013
random998366|6102fd9b28bda86bd2903a6b|Ti18Ge18Rh18N|mp-1208205|TiGeRh|*N2|N2|-0.102|2|1|1|0.208
random1602017|6102fda028bda86bd2903aa3|Ti24Ag12N|mp-979115|Ti2Ag|*N2|N2|-0.025|2|1|1|0.055
random1404123|6102fda228bda86bd2903ab2|K16S8N|mp-1062758|K2S|*N2|N2|0.010|2|1|1|0.062
random1932389|6102fda38755c713dfa9c846|Hf8Zr8Tc16N|mp-974943|HfZrTc2|*N2|N2|-1.775|1|0|0|0.125
random1146031|6102fe438755c713dfa9c8a1|Zn22Rh4N|mp-13448|Zn11Rh2|*N2|N2|-0.316|1|0|0|0.250
random1666684|6102fe4c8755c713dfa9c901|Hf10Sc10Ge12N|mp-1224544|Hf5Sc5Ge6|*N2|N2|-2.172|1|1|0|0.061
random725432|6102fe4f28bda86bd2903b69|Hf8Ni8Sb8N|mp-1212231|HfNiSb|*N2|N2|0.889|1|0|1|0.500
random1529381|6102fe508755c713dfa9c92b|Hf20Sb20N|mp-1079914|HfSb|*N2|N2|-1.992|2|2|1|0.158
random961175|6102fe588755c713dfa9c96e|Sb12Se18N|mp-672706|Sb2Se3|*N2|N2|-0.018|1|1|2|0.460
random2009353|6102fe6128bda86bd2903c03|Sc8Ru16N|mp-567750|ScRu2|*N2|N2|-0.526|1|0|1|0.078
random535333|6102fefb28bda86bd2903cc5|Sc6Ag18N|mp-1186973|ScAg3|*N2|N2|-0.420|2|1|0|0.042
random1188467|6102ff0f28bda86bd2903da3|Nb12V12P12N|mp-1102537|NbVP|*N2|N2|-0.011|0|1|1|0
random1361658|61030ad35fd66b1c243e8e59|Ti8Tc16Mo8N|mp-866213|TiTc2Mo|*N2|N2|-0.730|1|0|0|0.125
random652842|615f5eaaf2a9cc00fac224f6|V24Co24Si24N|mp-21371|VCoSi|*N2|N2|-0.915|1|2|0|0.127
random1331173|615f66d5f2a9cc00fac2267d|Sc24Te8Pd4N|mp-1203241|Sc6Te2Pd|*N2|N2|-0.023|1|0|2|0
random579359|615f66e1f2a9cc00fac22750|Sc12Ga4N|mp-1186968|Sc3Ga|*N2|N2|-3.541|2|1|1|0.063
random525213|615f66e3f2a9cc00fac2276f|Nb18Ag3Se24N|mp-1220427|Nb6AgSe8|*N2|N2|-0.933|1|1|0|0.122
random2081517|615f66eeabef87e48c0b1ec9|Ta16Fe16Si28N|mp-1193899|Ta4Fe4Si7|*N2|N2|-0.878|1|1|2|0.123
random2015945|615f66f5f2a9cc00fac228a0|Ca30In12Sb36N|mp-649479|Ca5(InSb3)2|*N2|N2|-0.152|0|1|2|0.016
random816735|615f66f9abef87e48c0b1f6d|V24Pt8N|mp-2211|V3Pt|*N2|N2|-2.540|2|1|1|0.031
random1766753|615f670fabef87e48c0b20fa|Fe9Pt9N|mp-2260|FePt|*N2|N2|-0.359|0|0|1|0.250
random500262|615f6712abef87e48c0b212f|Ti8Al8Ir16N|mp-1187464|TiAlIr2|*N2|N2|-0.731|1|0|0|0.125
random2009242|615f6727abef87e48c0b2299|Re24Si42N|mp-568595|Re4Si7|*N2|N2|0.556|1|0|1|0.423
random1880675|615f6738abef87e48c0b23b4|Ru12Rh36N|mp-974341|RuRh3|*N2|N2|-0.596|2|0|1|0.167
random1051360|615f6743abef87e48c0b248f|Ti40Si32N|mp-505527|Ti5Si4|*N2|N2|-2.534|1|0|0|0.250
random1682746|615f6749f2a9cc00fac22b74|Cr8Ga8Fe16N|mp-30570|CrGaFe2|*N2|N2|-0.633|1|1|0|0.125
random2032979|615f6757abef87e48c0b25ee|As16Pd48N|mp-1105134|AsPd3|*N2|N2|-0.053|1|1|2|0.165
random872960|615f6757abef87e48c0b25f1|As24Rh12N|mp-15954|As2Rh|*N2|N2|-0.274|0|1|2|0.057
random2413889|615f6759abef87e48c0b2617|Sc6Al18N|mp-2121|ScAl3|*N2|N2|-0.660|2|1|0|0.083
random388751|615f675eabef87e48c0b267e|Cs8H8N|mp-632319|CsH|*N2|N2|-0.044|1|1|0|0.250
random1576988|6162649af2a9cc00fac22cd7|Si4Hg16S24N|mp-17948|Si(Hg2S3)2|*N2|N2|-0.020|1|2|0|0.150
random765005|6162649af2a9cc00fac22cde|Al72Re6N|mp-1648|Al12Re|*N2|N2|-0.005|2|1|0|0.053
random1910461|6162649dabef87e48c0b285a|Ni18Se18N|mp-15651|NiSe|*N2|N2|0.298|2|1|-1|0.050
random1976492|616264adabef87e48c0b2958|Te16Se32N|mp-1217269|TeSe2|*N2|N2|0.458|0|1|1|0.063
random474566|616264ddabef87e48c0b2b0a|K3Nb18(Se12N)2|mp-1223754|K(Nb3Se4)2|*N2|N2|-2.599|1|0|0|0.500
random1998671|61626859b5e80ff54a155dbe|Tc24P72N|mp-28029|TcP3|*N2|N2|-0.025|2|0|1|0.033
random1668263|61626875abef87e48c0b2d44|Ta9S27N|mp-30527|TaS3|*N2|N2|-3.682|1|0|0|0.465
random1063415|6162688ab5e80ff54a155f13|Sb24Mo12S12N|mp-30285|Sb2MoS|*N2|N2|-0.014|2|2|-1|0.167
random551872|6162688eb5e80ff54a155f66|K32As32N|mp-713|KAs|*N2|N2|-0.112|2|0|1|0.086
random1501986|61626896abef87e48c0b2eaf|Ti16S16NCl16|mp-1013900|TiSCl|*N2|N2|-0.023|2|2|1|0.067
random1415211|616268b2b5e80ff54a156043|Sn20Au20N|mp-1775|SnAu|*N2|N2|-0.018|2|1|2|0.100
random1363132|616268d3b5e80ff54a156159|Cu16Ge8S24N|mp-15252|Cu2GeS3|*N2|N2|-0.025|2|1|2|0.043
random747843|616268e0abef87e48c0b314d|V12Zn15N|mp-30883|V4Zn5|*N2|N2|-1.206|1|1|1|0.080
random506115|616268f8b5e80ff54a1562b3|Zr6In6Rh12N|mp-977543|ZrInRh2|*N2|N2|0.893|2|1|0|0.042
random2347413|61626906abef87e48c0b3272|Ca4In8P8N|mp-1079772|Ca(InP)2|*N2|N2|-1.254|1|0|0|0.500
random648883|61626908b5e80ff54a15633d|Si8N11|mp-11607|Si3N4|*N2|N2|0.967|2|1|1|0.133
random958696|61626917abef87e48c0b32cf|Nb15Te12N|mp-30797|Nb5Te4|*N2|N2|-0.923|1|0|0|0.030
random842434|6162692fabef87e48c0b3393|Na10Hg30N|mp-1186142|NaHg3|*N2|N2|0.051|2|2|1|0.025
random2160547|61626935b5e80ff54a1564d3|Hf15N16|mp-2828|HfN|*N2|N2|2.930|2|2|1|0.050
random1669228|61626939b5e80ff54a156509|Zr9Au9N|mp-1215274|ZrAu|*N2|N2|-0.017|0|0|1|0.250
random1901682|6162693dabef87e48c0b3415|Hf8Ti8Mo32N|mp-1224259|HfTiMo4|*N2|N2|-1.613|2|1|1|0.094
random1247457|61626940b5e80ff54a156556|Co9Pt9N|mp-949|CoPt|*N2|N2|-0.875|0|0|1|0.250
random1933165|61626961abef87e48c0b34e0|Al18Ga6N25|mp-1228436|Al3GaN4|*N2|N2|0.070|1|0|1|0.155
random526283|61626994abef87e48c0b3699|Sr20Zn10Pb10N|mp-1187098|Sr2ZnPb|*N2|N2|-0.347|2|2|1|0.025
random2097472|6162699cabef87e48c0b3718|Si16Tc16N|mp-1079910|SiTc|*N2|N2|0.033|2|1|1|0.086
random1980676|616269acb5e80ff54a15681e|Hf8Mo16N|mp-2363|HfMo2|*N2|N2|-3.071|1|0|0|0.063
random928960|616269b5b5e80ff54a15687c|Sr8Al16N|mp-22318|SrAl2|*N2|N2|0.198|2|1|0|0
random2168987|61626ab3abef87e48c0b398e|Ta24V12Ir12N|mp-1187195|Ta2VIr|*N2|N2|-1.957|2|1|0|0.042
random2112275|61626ab7abef87e48c0b39df|Bi12Te12Se6N|mp-29666|Bi2Te2Se|*N2|N2|-0.014|0|0|1|0.167
random1532975|61626abaabef87e48c0b3a18|P24S36N|mp-1189177|P2S3|*N2|N2|-0.011|1|2|0|0.167
random1529232|61626abdabef87e48c0b3a39|Nb16Cr32N|mp-548|NbCr2|*N2|N2|-1.922|2|1|1|0.031
random114031|61626addb5e80ff54a156aeb|Ga24Tc8N|mp-1183998|Ga3Tc|*N2|N2|-0.484|1|1|0|0.125
random1931028|61626af2b5e80ff54a156b7c|Sc8Te8N|mp-10026|ScTe|*N2|N2|-3.676|1|0|1|0.104
random582182|61626c3adfd6ab1c21468717|Rb12Sb12N|mp-7444|RbSb|*N2|N2|-0.051|2|1|1|0.058
random2457249|61626c3edfd6ab1c21468765|Y8In8Rh16N|mp-866163|YInRh2|*N2|N2|-0.338|2|1|1|0.062
random2192201|61626c50b5e80ff54a156ea4|Co16P16S16N|mp-1226003|CoPS|*N2|N2|-0.011|2|1|1|0.033
random765622|61626c71dfd6ab1c214688be|In16Pt32N|mp-1223755|InPt2|*N2|N2|-0.167|1|0|1|0.341
random958559|61626c85dfd6ab1c21468900|Sc4Ga24Fe24N|mp-11438|Sc(GaFe)6|*N2|N2|-1.965|2|1|1|0.105
random528149|61626ccddfd6ab1c21468a6e|V15Ge9N|mp-20916|V5Ge3|*N2|N2|-0.006|1|1|1|0.123
random1574056|61626dc9b5e80ff54a1570b0|Cr16P64N|mp-7302|CrP4|*N2|N2|-0.017|1|2|-1|0.063
random1647431|61626e40dfd6ab1c21468dbc|Ge36Pt24N|mp-571640|Ge3Pt2|*N2|N2|-0.021|1|0|2|0.172
random892755|61626e65b5e80ff54a157339|Co12As24N|mp-2715|CoAs2|*N2|N2|-0.017|1|2|0|0.031
random532941|61626ed7dfd6ab1c2146911b|Ca21Rh3N19|mp-1245633|Ca7RhN6|*N2|N2|-0.223|1|2|1|0.098
random1349252|61626edbdfd6ab1c21469137|Nb16N13|mp-569167|Nb4N3|*N2|N2|-0.848|1|0|1|0.125
random1492118|61626f0fb5e80ff54a1574a3|Sr48In48N|mp-608072|SrIn|*N2|N2|-0.135|2|1|1|0.312
random2201166|61627016dfd6ab1c21469379|Y40Ru16N|mp-1104898|Y5Ru2|*N2|N2|-0.819|1|0|-1|0.138
random1443520|61627033b5e80ff54a1575e3|Nb10Rh30N|mp-2449|NbRh3|*N2|N2|-0.186|2|2|1|0.050
random2237229|6162704cdfd6ab1c214694b7|Ni12Ru12N|mp-1219922|NiRu|*N2|N2|-0.391|2|2|1|0.062
random1343933|6162704fb5e80ff54a1575e7|Ti12Fe6Se24N|mp-5090|Ti2FeSe4|*N2|N2|-0.352|1|1|1|0.455
random546522|61627053b5e80ff54a157619|Sr4Sn12N|mp-1186760|SrSn3|*N2|N2|-0.132|1|0|0|0.250
random2184424|61627073dfd6ab1c2146950f|Nb30Cu24Si24N|mp-13967|Nb5(CuSi)4|*N2|N2|-0.819|1|0|1|0.106
random1361344|61627111b5e80ff54a157713|Al18Ir6N|mp-2294|Al3Ir|*N2|N2|-0.026|2|1|1|0.057
random2457842|6162713cb5e80ff54a1577a0|Ni16Se32N|mp-20901|NiSe2|*N2|N2|-0.012|1|0|0|0.250
random1854278|61627167b5e80ff54a15786f|Hf18Sn6N|mp-1184558|Hf3Sn|*N2|N2|-4.380|2|1|0|0.083
random2031281|6162719ddfd6ab1c214697b1|Y8Ga16Pd8N|mp-1079075|YGa2Pd|*N2|N2|-0.010|1|1|1|0.130
random2150271|61627260b5e80ff54a157a50|Y6Al12Co6N|mp-16493|YAl2Co|*N2|N2|-1.315|1|1|1|0.374
random1473850|61627285dfd6ab1c214698cc|Ca8Ni16As16N|mp-4744|Ca(NiAs)2|*N2|N2|-0.015|1|1|2|0.066
random1586891|6162728ab5e80ff54a157aa0|Nb24H48N|mp-24154|NbH2|*N2|N2|-0.017|2|1|1|0.062
random800499|6162728bb5e80ff54a157aba|Y10Sc10S30N|mp-7792|YScS3|*N2|N2|-0.047|1|2|2|0.060
random1156377|616272b9b5e80ff54a157b25|Sb16Ir16Se16N|mp-1095507|SbIrSe|*N2|N2|-0.697|1|0|0|0.058
random616257|61627301dfd6ab1c21469aa0|In58N|mp-1184693|In|*N2|N2|-0.020|2|1|1|0.016
random1344216|61627309b5e80ff54a157c6c|Co16Si16Mo16N|mp-1226108|CoSiMo|*N2|N2|-0.685|1|2|1|0.052
random1465694|61627322b5e80ff54a157d05|W10N21|mp-754628|WN2|*N2|N2|-0.898|1|2|2|0.018
random967406|61627348dfd6ab1c21469b72|Ti24Se36N|mp-1208273|Ti2Se3|*N2|N2|-0.564|2|1|2|0.106
