ix	Element combo	material_id
1	MoN	mp-13036
2	Ag	mp-989737
3	Ag(MoS)	mp-675553
4	Ag(MoSe)	mp-1103642
5	Ag(TeAu)	mp-1229158
6	AgAsS	mp-4431
7	AgAsSe	mp-4483
8	AgAu	mp-1183214
9	AgAuCl	mp-570340
10	AgBiS	mp-1229165
11	AgCl	mp-570687
12	AgGeS	mp-9900
13	AgGeSe	mp-18474
14	AgP	mp-27821
15	AgPd	mp-1229012
16	AgPdCl	mp-28557
17	AgPPt	mp-1025385
18	AgPS	mp-5470
19	AgPSe	mp-30908
20	AgPt	mp-1229032
21	AgS	mp-31053
22	AgSbS	mp-1229019
23	AgSbSe	mp-33683
24	AgSe	mp-568971
25	AgTe	mp-685048
26	AgTeAu	mp-3291
27	AgTeS	mp-29163
28	Al	mp-1183144
29	Al(CuS)	mvc-11835
30	Al(CuSe)	mvc-11795
31	Al(MoS)	mp-1228605
32	Al(NiPt)	mp-1229119
33	Al(VSi)	mp-1229062
34	Al(ZnS)	mp-1228987
35	AlAg	mp-1228947
36	AlAs	mp-2172
37	AlAu	mp-1399
38	AlC	mp-1591
39	AlCl	mp-25469
40	AlCo	mp-1228607
41	AlCoIr	mp-867319
42	AlCoOs	mp-984352
43	AlCoRu	mp-862695
44	AlCr	mp-19954
45	AlCrFe	mp-1228906
46	AlCrGe	mp-1228945
47	AlCrS	mp-675628
48	AlCrSi	mp-1214842
49	AlCu	mp-985806
50	AlCuAu	mp-867306
51	AlCuNi	mp-1228938
52	AlCuRh	mp-1183191
53	AlCuS	mvc-16090
54	AlCuSe	mp-8016
55	AlFeCo	mp-862691
56	AlFeH	mp-1206123
57	AlFeNi	mp-1228910
58	AlFeRh	mp-1183147
59	AlFeSi	mp-867878
60	AlFeW	mp-862288
61	AlGaN	mp-1019378
62	AlGaNi	mp-1183173
63	AlGaP	mp-1228888
64	AlGaRu	mp-1183218
65	AlGeW	mp-1214809
66	AlH	mp-1106356
67	AlHgS	mp-7906
68	AlIr	mp-1200220
69	AlIrRh	mp-862694
70	AlMo	mp-550
71	AlN	mp-661
72	AlNi	mp-622209
73	AlNiGe	mp-1228803
74	AlNiOs	mp-1183155
75	AlNiSb	mp-1228500
76	AlOs	mp-567929
77	AlP	mp-8880
78	AlPbSe	mp-1228611
79	AlPd	mp-829
80	AlPdRu	mp-862715
81	AlPPd	mp-1228856
82	AlPPt	mp-1025271
83	AlPt	mp-1501
84	AlRe	mp-16528
85	AlReGe	mp-1228817
86	AlRh	mp-1183306
87	AlRu	mp-1009834
88	AlRuRh	mp-867326
89	AlS	mp-1079029
90	AlSb	mp-1018100
91	AlSiMo	mp-1228032
92	AlSiPd	mp-1228909
93	AlSiPt	mp-1228017
94	AlSiW	mp-1227997
95	AlTc	mp-16719
96	AlTe	mp-1228524
97	AlTlCl	mp-567716
98	AlVCo	mp-1066445
99	AlW	mp-11227
100	AlZnIr	mp-862705
101	AlZnS	mp-1096832
102	AlZnSe	mp-1228454
103	As	mp-11
104	AsIr	mp-540912
105	AsOsSe	mp-1214784
106	AsPd	mp-1105134
107	AsPdPb	mp-1228991
