Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift
random1767527|6101e42020c7bc66345c6db4|Cr32Fe32Ge64HO|mp-1226385|CrFeGe2|*OH|H1 O1|0.417|1|1|0|0.047
random1021361|6101e42220c7bc66345c6dc6|Ca27Si54HO|mp-2700|CaSi2|*OH|H1 O1|-4.350|1|0|-1|0.068
random141973|6101e97020c7bc66345c6e40|Hf36HO|mp-100|Hf|*OH|H1 O1|-3.009|1|0|0|0.250
random2276784|6101e97620c7bc66345c6e86|Ti60Ge48HO|mp-1198692|Ti5Ge4|*OH|H1 O1|-1.805|1|2|0|0.083
random1013557|6101e97720c7bc66345c6e9a|HRu48Rh16O|mp-1186926|Ru3Rh|*OH|H1 O1|-0.190|0|0|1|0
random567520|6101e97b20c7bc66345c6eca|Hf40Al24HO|mp-2361|Hf5Al3|*OH|H1 O1|-1.768|2|-1|2|0.125
random1244490|6101e98220c7bc66345c6f0d|Sc32Ge32HO|mp-9970|ScGe|*OH|H1 O1|-0.866|1|1|1|0.250
random1788744|6101e98d20c7bc66345c6f69|Sc20Ga12HO|mp-1179520|Sc5Ga3|*OH|H1 O1|-1.608|1|1|1|0.042
random1642558|6101e99136aed9599e829a07|Nb16Si16Tc32HO|mp-864672|NbSiTc2|*OH|H1 O1|-2.215|1|0|0|0.125
random2024075|6101e99ca7c2f2b7f339c62b|V48Fe48HO|mp-1216347|VFe|*OH|H1 O1|-1.001|1|1|0|0.125
random1320130|6101e9a036aed9599e829a7c|Na8Sn8Sb8HO|mp-952566|NaSnSb|*OH|H1 O1|-0.161|1|0|1|0.319
random1846953|6101e9a4a7c2f2b7f339c68c|Fe18HIr54O|mp-10596|FeIr3|*OH|H1 O1|-0.319|2|1|0|0.083
random1743209|6101e9a636aed9599e829abc|Mn80Si24Ge24HO|mp-1222206|Mn10(SiGe)3|*OH|H1 O1|-0.438|1|1|0|0.220
random1966837|6101ec50a7c2f2b7f339c757|Al24HPt72O|mp-188|AlPt3|*OH|H1 O1|0.305|1|1|0|0.125
random1831996|6101ec5136aed9599e829b73|Re12HCl36O|mp-23174|ReCl3|*OH|H1 O1|-0.192|2|0|-1|0.188
random1891667|6101ec5120c7bc66345c7069|Ca12Si12Ni24HO|mp-10797|CaSiNi2|*OH|H1 O1|-0.175|1|0|1|0.458
random62855|6101ec5536aed9599e829ba7|Ta12Mo12HW12O|mp-1217897|TaMoW|*OH|H1 O1|-0.310|0|1|2|0.086
random1731582|6101ec5a36aed9599e829bd0|Nb32Zn64HO|mp-30798|NbZn2|*OH|H1 O1|-1.613|1|1|1|0.032
random763549|6101ec5a20c7bc66345c70a0|Zr27As27HO|mp-10054|ZrAs|*OH|H1 O1|-1.489|1|1|1|0.083
random1744327|6101ec5c20c7bc66345c70ad|Ti162HSe36O|mp-619905|Ti9Se2|*OH|H1 O1|-2.060|0|1|2|0.097
