Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift|
random2325461|6101e41020c7bc66345c6d12|Al60H2O|mp-134|Al|*OH2|H2 O1|-0.053|2|2|1|0.050|
random2267916|6101e97620c7bc66345c6e8c|Nb60Ge36H2O|mp-16842|Nb5Ge3|*OH2|H2 O1|-0.505|1|1|1|0.028|
random1732934|6101e99836aed9599e829a3d|Si48H2Ru32O|mp-22192|Si3Ru2|*OH2|H2 O1|-0.274|0|0|1|0.037|
random289977|6101e99d36aed9599e829a64|Ga32H2Pt16O|mp-22095|Ga2Pt|*OH2|H2 O1|-0.002|1|0|0|0.125|
random453254|6101e99f36aed9599e829a74|Ta64Si32H2O|mp-2783|Ta2Si|*OH2|H2 O1|0.020|0|0|1|0.125|
random1984982|6101e9a636aed9599e829abe|Si24H2Ru40O|mp-1105935|Si3Ru5|*OH2|H2 O1|-0.051|1|0|1|0.126|
random1346922|6101e9aaa7c2f2b7f339c6c3|V24H2Ru24O|mp-1395|VRu|*OH2|H2 O1|-0.461|1|1|1|0.083|
random2472454|6101ec4a20c7bc66345c702d|Y16H2Pt8O|mp-1102657|Y2Pt|*OH2|H2 O1|-0.312|0|1|0|0.193|
random1990773|6101ec4ba7c2f2b7f339c727|Y16Al72Co24H2O|mp-11486|Y2(Al3Co)3|*OH2|H2 O1|-0.265|2|0|1|0.226|
random716284|6101ec4b20c7bc66345c7036|Tl81H2O|mp-972351|Tl|*OH2|H2 O1|-0.044|1|0|2|0.054|
random1033678|6101ec50a7c2f2b7f339c754|Tc72P24H2O|mp-17449|Tc3P|*OH2|H2 O1|-0.651|1|1|1|0.043|
random812425|6101ec54a7c2f2b7f339c784|Ni16As16H2Se16O|mp-10846|NiAsSe|*OH2|H2 O1|-0.061|2|1|1|0.155|
random1599427|6101ec56a7c2f2b7f339c793|Cu42Si12H2O|mp-1206157|Cu7Si2|*OH2|H2 O1|-0.162|2|1|1|0.079|
random1762311|6101ec5d20c7bc66345c70b4|Nb48H2C24O|mp-569989|Nb2C|*OH2|H2 O1|-1.800|1|0|2|0.170|
random2298185|6101ec6b36aed9599e829c49|Ti72H2Se36O|mp-680576|Ti2Se|*OH2|H2 O1|0.022|1|1|2|0.324|
random2027267|6101ec6ca7c2f2b7f339c86f|Zr10P35H2Rh60O|mp-1215726|Zr2P7Rh12|*OH2|H2 O1|-0.691|2|2|1|0.007|
random574533|6101ec8120c7bc66345c71e4|Hf12Ge12H2Ru24O|mp-1184684|HfGeRu2|*OH2|H2 O1|-2.005|1|1|1|0.125|
random1565012|6101ec8420c7bc66345c71fc|Al16H2Rh48O|mp-1183306|AlRh3|*OH2|H2 O1|-0.292|1|0|0|0.500|
random2027422|6101ec8c20c7bc66345c7243|Nb40Ga24H2O|mp-1105552|Nb5Ga3|*OH2|H2 O1|-0.478|2|1|1|0.074|
random490381|6101ec8fa7c2f2b7f339c9df|Ca24P24H2O|mp-1345|CaP|*OH2|H2 O1|-0.553|1|1|0|0.161|
random1806167|6101ec9020c7bc66345c725b|Ca8Ni40H10O|mp-1078008|CaNi5H|*OH2|H2 O1|-0.411|0|1|0|0.418|
random1746312|6101ec97a7c2f2b7f339ca28|Zr50Ga40H2O|mp-1188336|Zr5Ga4|*OH2|H2 O1|-2.376|2|2|1|0.088|
random1258760|6101ec9ea7c2f2b7f339ca72|Y18H2W18N54O|mp-989407|YWN3|*OH2|H2 O1|-3.499|0|2|1|0.083|
random2225752|6101eca120c7bc66345c72df|Hg32H2Rh16O|mp-11870|Hg2Rh|*OH2|H2 O1|-0.033|2|1|2|0.062|
random1744572|6101eca336aed9599e829d8b|Ta32H2Ru32O|mp-1601|TaRu|*OH2|H2 O1|-1.741|2|2|1|0.062|
random1662032|6101eca7a7c2f2b7f339cac0|P18H2Pd72O|mp-1220003|PPd4|*OH2|H2 O1|-0.076|1|1|1|0.250|
random1575203|6101ecb0a7c2f2b7f339cb15|Ta16Zn32H2O|mp-1102895|TaZn2|*OH2|H2 O1|-0.705|1|0|0|0.500|
random652563|6101ecb320c7bc66345c737e|H2Pb16S16O|mp-1087486|PbS|*OH2|H2 O1|-0.790|1|0|-1|0.305|
random1925211|6101ecbda7c2f2b7f339cb65|H2Pt64S64O|mp-1205321|PtS|*OH2|H2 O1|-0.031|1|0|0|0.282|
random1949993|6101ecbfa7c2f2b7f339cb6b|V64H2O|mp-146|V|*OH2|H2 O1|-0.369|1|1|0|0.250|
random1827309|6101ecc136aed9599e829e03|Ti36Si18H2C18O|mp-1079908|Ti2SiC|*OH2|H2 O1|-0.274|1|0|2|0.342|
random1825767|6101ecc520c7bc66345c744b|Sr40As24H2O|mp-15698|Sr5As3|*OH2|H2 O1|-0.841|1|0|2|0|
random1913228|6101ecc9a7c2f2b7f339cb9c|Hf20Ta20V80H2O|mp-1224275|HfTaV4|*OH2|H2 O1|-0.562|2|2|1|0.088|
random2437858|6101eccaa7c2f2b7f339cba2|Hf48H2Ir48O|mp-1018055|HfIr|*OH2|H2 O1|-1.511|1|0|2|0|
random1453435|6101ecda20c7bc66345c74fe|Nb24P48H2O|mp-1077116|NbP2|*OH2|H2 O1|0.145|1|0|1|0.038|
random533093|6101ece336aed9599e829f40|Y16Ge32H2Ir16O|mp-580930|YGe2Ir|*OH2|H2 O1|-0.038|0|0|1|0.173|
random1832656|6101eced20c7bc66345c75aa|Na16Re24H2Se48O|mp-1196650|Na2(ReSe2)3|*OH2|H2 O1|-0.888|1|0|0|0.054|
random2043782|6101ecfca7c2f2b7f339cd5d|Rb12P24H2Ir24O|mp-1206529|Rb(PIr)2|*OH2|H2 O1|-0.392|2|1|1|0.042|
random2205036|6101ed1336aed9599e82a0f0|Sr16Cd32Ga32H2O|mp-12783|Sr(CdGa)2|*OH2|H2 O1|-0.502|1|1|2|0.250|
random2321316|6101ed1536aed9599e82a100|Ti27H2Pd27O|mp-11546|TiPd|*OH2|H2 O1|-0.032|1|0|0|0.250|
random508727|6101ed1520c7bc66345c770f|Cu36H2Pd36O|mp-1225656|CuPd|*OH2|H2 O1|-0.190|0|2|1|0.083|
random2081470|6101ed1c20c7bc66345c7754|Cr36H2Se48O|mp-27840|Cr3Se4|*OH2|H2 O1|-1.143|1|0|-1|0.250|
random1332062|6101ed25a7c2f2b7f339cea1|Re54H2Rh18O|mp-1219539|Re3Rh|*OH2|H2 O1|-0.116|2|0|1|0.333|
random980556|6101ed35a7c2f2b7f339cf22|Mn24Al32Si16H2O|mp-1221843|Mn3(Al2Si)2|*OH2|H2 O1|-1.260|0|1|0|0.084|
random562635|6101ed3a36aed9599e82a23a|Y24H2Au12O|mp-979911|Y2Au|*OH2|H2 O1|-3.130|1|2|0|0.120|
