Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift
random2187011|6101e41320c7bc66345c6d30|Ta36H4Os24CO|mp-1218177|Ta3Os2|*OHCH3|C1 H4 O1|-1.701|0|0|1|0.626
random1326229|6101e41c20c7bc66345c6d8a|Si24H4Ru48CO|mp-10025|SiRu2|*OHCH3|C1 H4 O1|-1.919|1|0|2|0.083
random1324364|6101e98c20c7bc66345c6f66|Si60H4Pt72CO|mp-29661|Si5Pt6|*OHCH3|C1 H4 O1|-1.561|2|1|1|0.103
random652326|6101e991a7c2f2b7f339c5c3|Co24H4CSe48O|mp-20862|CoSe2|*OHCH3|C1 H4 O1|-1.565|2|1|0|0.125
random1949737|6101e99320c7bc66345c6f9a|Ta72Ge24H4CO|mp-639805|Ta3Ge|*OHCH3|C1 H4 O1|-2.415|2|1|1|0.057
random2205340|6101e99720c7bc66345c6fba|Nb24As48H4CO|mp-7598|NbAs2|*OHCH3|C1 H4 O1|-4.456|1|0|-2|0.107
random1338084|6101e99736aed9599e829a37|Zn24H4Rh72CO|mp-971779|ZnRh3|*OHCH3|C1 H4 O1|-1.821|2|1|1|0.125
random2059258|6101e99a20c7bc66345c6fd9|Ag32H4CSe16O|mp-1183005|Ag2Se|*OHCH3|C1 H4 O1|-3.426|0|1|0|0.043
random1815659|6101e9aba7c2f2b7f339c6cd|As96H4Rh32CO|mp-8182|As3Rh|*OHCH3|C1 H4 O1|-1.602|2|1|1|0.070
random2255975|6101ec4ca7c2f2b7f339c730|Zr40Cd8H4Pb24CO|mp-1189916|Zr5CdPb3|*OHCH3|C1 H4 O1|-2.164|2|-1|2|0.125
random1398858|6101ec54a7c2f2b7f339c781|Ti36P72H4CO|mp-20327|TiP2|*OHCH3|C1 H4 O1|-2.318|0|1|2|0.028
random859302|6101ec5620c7bc66345c707b|Co40P80H4CO|mp-14285|CoP2|*OHCH3|C1 H4 O1|-1.776|2|1|-2|0.024
random1772889|6101ec5836aed9599e829bbc|Y24Al48H4CO|mp-2322|YAl2|*OHCH3|C1 H4 O1|-3.679|1|1|1|0.104
random647711|6101ec5aa7c2f2b7f339c7b0|Hf16Ga16H4Ru32CO|mp-865010|HfGaRu2|*OHCH3|C1 H4 O1|-2.243|1|0|0|0.125
random766217|6101ec6920c7bc66345c710e|Y12H4Ir36CO|mp-1095497|YIr3|*OHCH3|C1 H4 O1|-1.576|1|0|1|0.375
random1494287|6101ec7c20c7bc66345c71b9|Mo48P30H4CO|mp-27413|Mo8P5|*OHCH3|C1 H4 O1|-1.516|2|1|-1|0.183
random1442058|6101ec8d36aed9599e829caf|Zn24H4Pd48CO|mp-1215509|ZnPd2|*OHCH3|C1 H4 O1|-1.538|2|1|0|0.083
random1660652|6101ec9036aed9599e829cca|Cs16H4CO|mp-3|Cs|*OHCH3|C1 H4 O1|-1.796|1|0|2|0.250
random1599272|6101ec9da7c2f2b7f339ca5e|Ni54Sb18H4CO|mp-976847|Ni3Sb|*OHCH3|C1 H4 O1|-1.594|2|1|0|0.083
random591295|6101eca936aed9599e829dc1|Fe24H4CCl48O|mp-23229|FeCl2|*OHCH3|C1 H4 O1|-2.395|1|1|0|0.250
random605945|6101ecb5a7c2f2b7f339cb35|Al72Co16H4CO|mp-16488|Al9Co2|*OHCH3|C1 H4 O1|-1.862|0|0|1|0.105
random1847812|6101ecd620c7bc66345c74d9|Ta88Al32H4CO|mp-1217804|Ta11Al4|*OHCH3|C1 H4 O1|-2.143|1|2|1|0.184
